2024-05-24 08:23:23,644,RT1BMLBV1,RT1BMLBV2,RT1BMLBV3,RT1BMLBV4,RT1BMLBV5,RT1BMLBV6,RT1BMLBV7,RT1BMLBV8,RT1BMCBV01,RT1BMCBV02,RT1BMCBV03,RT1BMCBV04,RT1BMCBV05,RT1BMCBV06,RT1BMCBV07,RT1BMCBV08,RT1BMCBV09,RT1BMCBV10,RT1BMCBV11,RT1BMCBV12,RT1BMCBV13,RT1BMCBV14,RT1BMCBV15,RT1BMCBV16,RT1BMLBT1,RT1BMLBT2,RT1BMLBT3,RT1BMLBT4,RT1BMLBT5,RT1BMLBT6,RT1BMLBT7,RT1BMLBT8,RT1BMCBT01,RT1BMCBT02,RT1BMCBT03,RT1BMCBT04,RT1BMCBT05,RT1BMCBT06,RT1BMCBT07,RT1BMCBT08,RT1BMCBT09,RT1BMCBT10,RT1BMCBT11,RT1BMCBT12,RT1BMCBT13,RT1BMCBT14,RT1BMCBT15,RT1BMCBT16,RT1BMLBBV,RT1BMCBBV,RT1BMLBI,RT1BMCBI,RM2BMLBV1,RM2BMLBV2,RM2BMLBV3,RM2BMLBV4,RM2BMLBV5,RM2BMLBV6,RM2BMLBV7,RM2BMLBV8,RM2BMLBT1,RM2BMLBT2,RM2BMLBT3,RM2BMLBT4,RM2BMLBT5,RM2BMLBT6,RM2BMLBT7,RM2BMLBT8,RM2BMLBBV,RM2BMLBI,RM3BMLBV1,RM3BMLBV2,RM3BMLBV3,RM3BMLBV4,RM3BMLBV5,RM3BMLBV6,RM3BMLBV7,RM3BMLBV8,RM3BMLBT1,RM3BMLBT2,RM3BMLBT3,RM3BMLBT4,RM3BMLBT5,RM3BMLBT6,RM3BMLBT7,RM3BMLBT8,RM3BMLBBV,RM3BMLBI,RT4BMLBV1,RT4BMLBV2,RT4BMLBV3,RT4BMLBV4,RT4BMLBV5,RT4BMLBV6,RT4BMLBV7,RT4BMLBV8,RT4BMCBV01,RT4BMCBV02,RT4BMCBV03,RT4BMCBV04,RT4BMCBV05,RT4BMCBV06,RT4BMCBV07,RT4BMCBV08,RT4BMCBV09,RT4BMCBV10,RT4BMCBV11,RT4BMCBV12,RT4BMCBV13,RT4BMCBV14,RT4BMCBV15,RT4BMCBV16,RT4BMLBT1,RT4BMLBT2,RT4BMLBT3,RT4BMLBT4,RT4BMLBT5,RT4BMLBT6,RT4BMLBT7,RT4BMLBT8,RT4BMCBT01,RT4BMCBT02,RT4BMCBT03,RT4BMCBT04,RT4BMCBT05,RT4BMCBT06,RT4BMCBT07,RT4BMCBT08,RT4BMCBT09,RT4BMCBT10,RT4BMCBT11,RT4BMCBT12,RT4BMCBT13,RT4BMCBT14,RT4BMCBT15,RT4BMCBT16,RT4BMLBBV,RT4BMCBBV,RT4BMLBI,RT4BMCBI,RT5BMLBV1,RT5BMLBV2,RT5BMLBV3,RT5BMLBV4,RT5BMLBV5,RT5BMLBV6,RT5BMLBV7,RT5BMLBV8,RT5BMCBV01,RT5BMCBV02,RT5BMCBV03,RT5BMCBV04,RT5BMCBV05,RT5BMCBV06,RT5BMCBV07,RT5BMCBV08,RT5BMCBV09,RT5BMCBV10,RT5BMCBV11,RT5BMCBV12,RT5BMCBV13,RT5BMCBV14,RT5BMCBV15,RT5BMCBV16,RT5BMLBT1,RT5BMLBT2,RT5BMLBT3,RT5BMLBT4,RT5BMLBT5,RT5BMLBT6,RT5BMLBT7,RT5BMLBT8,RT5BMCBT01,RT5BMCBT02,RT5BMCBT03,RT5BMCBT04,RT5BMCBT05,RT5BMCBT06,RT5BMCBT07,RT5BMCBT08,RT5BMCBT09,RT5BMCBT10,RT5BMCBT11,RT5BMCBT12,RT5BMCBT13,RT5BMCBT14,RT5BMCBT15,RT5BMCBT16,RT5BMLBBV,RT5BMCBBV,RT5BMLBI,RT5BMCBI,RM6BMLBV1,RM6BMLBV2,RM6BMLBV3,RM6BMLBV4,RM6BMLBV5,RM6BMLBV6,RM6BMLBV7,RM6BMLBV8,RM6BMLBT1,RM6BMLBT2,RM6BMLBT3,RM6BMLBT4,RM6BMLBT5,RM6BMLBT6,RM6BMLBT7,RM6BMLBT8,RM6BMLBBV,RM6BMLBI,RM7BMLBV1,RM7BMLBV2,RM7BMLBV3,RM7BMLBV4,RM7BMLBV5,RM7BMLBV6,RM7BMLBV7,RM7BMLBV8,RM7BMLBT1,RM7BMLBT2,RM7BMLBT3,RM7BMLBT4,RM7BMLBT5,RM7BMLBT6,RM7BMLBT7,RM7BMLBT8,RM7BMLBBV,RM7BMLBI,RT8BMLBV1,RT8BMLBV2,RT8BMLBV3,RT8BMLBV4,RT8BMLBV5,RT8BMLBV6,RT8BMLBV7,RT8BMLBV8,RT8BMCBV01,RT8BMCBV02,RT8BMCBV03,RT8BMCBV04,RT8BMCBV05,RT8BMCBV06,RT8BMCBV07,RT8BMCBV08,RT8BMCBV09,RT8BMCBV10,RT8BMCBV11,RT8BMCBV12,RT8BMCBV13,RT8BMCBV14,RT8BMCBV15,RT8BMCBV16,RT8BMLBT1,RT8BMLBT2,RT8BMLBT3,RT8BMLBT4,RT8BMLBT5,RT8BMLBT6,RT8BMLBT7,RT8BMLBT8,RT8BMCBT01,RT8BMCBT02,RT8BMCBT03,RT8BMCBT04,RT8BMCBT05,RT8BMCBT06,RT8BMCBT07,RT8BMCBT08,RT8BMCBT09,RT8BMCBT10,RT8BMCBT11,RT8BMCBT12,RT8BMCBT13,RT8BMCBT14,RT8BMCBT15,RT8BMCBT16,RT8BMLBBV,RT8BMCBBV,RT8BMLBI,RT8BMCBI,RM2BMLBI,RM3BMLBI,RM6BMLBI,RM7BMLBI,RT1BMCBI,RT1BMLBI,RT4BMCBI,RT4BMLBI,RT5BMCBI,RT5BMLBI,RT8BMCBI,RT8BMLBI,XT1PLESNSETNO8B
2024-05-24 08:23:24,557,13966,14466,13575,13843,13836,13888,13944,14013,13944,13939,14233,14227,13684,13684,14195,14191,14064,14061,13597,13595,13614,13615,13597,13593,245,241,242,244,239,236,243,244,250,263,264,254,247,251,258,240,247,263,255,250,243,255,264,247,1115,1109,-2,-2,13981,14121,14084,13872,14069,14049,13982,13636,239,238,238,245,242,240,242,244,1117,0,14079,13916,13839,13808,13731,14241,13959,13745,244,242,239,245,242,233,243,243,1113,1,13891,14252,14050,13984,13699,13747,13692,13706,13780,13782,14291,14292,13746,13746,13731,13729,13808,13813,13781,13778,13923,13924,14170,14168,233,236,232,232,233,236,237,236,248,252,255,240,237,249,252,239,236,250,240,245,237,247,246,234,1110,1112,0,1,14077,13995,14150,13620,14115,14040,13965,13861,13679,13681,13809,13805,14013,14010,13917,13912,13844,13848,13892,13893,14016,14012,13797,13796,239,234,233,233,239,233,237,238,243,259,255,243,246,252,254,238,244,254,247,243,239,248,250,241,1118,1109,1,0,13843,13548,14503,13583,13508,14045,14392,14303,245,243,244,246,245,243,248,250,1117,-2,14225,14342,13938,13657,14104,13908,13709,13875,260,256,250,261,251,247,257,255,1117,-1,13472,14334,13518,14196,13704,14282,14153,14195,13697,13697,13643,13647,14160,14157,14460,14463,13651,13648,13726,13729,13660,13659,13718,13717,232,227,228,231,234,225,230,231,247,261,261,248,250,257,259,243,243,264,257,246,240,254,259,239,1118,1107,0,0,0,1,-2,-1,-2,-2,1,0,0,1,0,0,  B34 
2024-05-24 08:23:54,588,13967,14462,13575,13841,13836,13887,13943,14011,13945,13940,14233,14227,13684,13683,14194,14190,14064,14061,13597,13595,13614,13615,13597,13593,245,241,242,244,239,236,243,244,250,263,264,253,247,251,258,240,247,263,255,250,243,255,263,247,1115,1109,-2,-2,13979,14122,14082,13871,14068,14048,13982,13636,239,238,238,245,242,240,242,244,1117,0,14085,13919,13843,13811,13734,14247,13962,13747,244,242,239,245,242,233,243,243,1113,1,13893,14265,14053,13990,13697,13756,13695,13709,13776,13777,14281,14283,13744,13743,13729,13726,13804,13810,13778,13775,13919,13918,14161,14159,233,236,232,232,233,236,237,236,248,252,255,240,237,249,252,239,236,250,240,245,237,247,245,234,1110,1111,0,1,14077,13995,14150,13620,14116,14041,13965,13861,13679,13681,13808,13804,14012,14009,13916,13912,13843,13847,13891,13893,14014,14010,13797,13795,239,234,233,233,239,233,237,238,242,259,255,243,246,252,254,238,244,253,247,243,239,248,250,241,1118,1109,1,0,13844,13548,14504,13584,13509,14045,14392,14304,245,243,244,246,245,244,248,250,1117,-2,14226,14343,13939,13657,14105,13908,13710,13876,260,256,250,261,251,247,257,255,1117,-1,13473,14333,13519,14196,13704,14281,14153,14194,13698,13698,13643,13647,14159,14155,14459,14461,13651,13648,13725,13728,13660,13660,13718,13717,232,227,228,231,234,225,230,231,247,261,261,248,250,257,259,243,243,263,257,246,240,254,259,239,1118,1107,0,0,0,1,-2,-1,-2,-2,1,0,0,1,0,0,  B34 
2024-05-24 08:24:24,633,13967,14463,13576,13841,13837,13890,13945,14011,13944,13938,14230,14228,13683,13683,14194,14189,14064,14059,13596,13595,13614,13616,13597,13593,245,241,242,244,239,236,243,244,250,263,264,253,247,251,258,240,247,263,255,249,243,255,263,246,1115,1109,-2,-2,13979,14121,14082,13872,14068,14048,13982,13636,239,238,238,245,242,240,242,244,1117,0,14085,13919,13843,13811,13734,14247,13961,13747,244,242,239,245,242,233,243,243,1113,1,13893,14265,14051,13990,13697,13757,13695,13709,13777,13779,14285,14287,13744,13744,13729,13728,13805,13810,13779,13775,13920,13921,14165,14163,233,236,232,232,233,236,237,236,248,252,255,240,237,249,252,238,236,250,240,245,237,247,245,234,1110,1112,0,1,14077,13995,14151,13621,14115,14040,13965,13861,13679,13680,13809,13805,14013,14010,13916,13912,13843,13847,13892,13893,14014,14011,13797,13796,239,234,233,233,239,233,237,238,242,259,255,243,246,252,254,238,244,253,247,243,239,248,250,241,1118,1109,1,0,13843,13549,14503,13584,13509,14045,14392,14304,245,243,244,246,245,244,248,250,1117,-2,14226,14343,13939,13658,14105,13909,13711,13876,260,256,250,261,251,247,257,255,1117,-1,13472,14332,13518,14195,13703,14280,14151,14194,13698,13697,13643,13648,14159,14156,14461,14462,13651,13648,13726,13728,13661,13660,13718,13717,232,227,228,231,234,225,230,231,247,261,261,248,250,257,258,243,243,263,257,246,240,254,259,239,1118,1107,0,0,0,1,-2,-1,-2,-2,1,0,0,1,0,0,  B34 
2024-05-24 08:24:54,664,13967,14465,13576,13842,13837,13890,13945,14012,13944,13938,14231,14227,13684,13683,14194,14189,14064,14059,13597,13595,13614,13615,13597,13593,245,241,242,244,239,236,243,244,250,263,264,253,247,251,258,240,247,263,256,249,243,255,263,246,1115,1109,-2,-2,13980,14121,14083,13873,14069,14049,13982,13637,239,238,238,244,242,241,242,244,1117,0,14084,13915,13843,13808,13734,14246,13957,13747,244,242,239,245,242,233,243,242,1113,1,13884,14252,14038,13979,13689,13740,13674,13690,13776,13778,14286,14287,13745,13744,13730,13727,13805,13810,13779,13776,13921,13921,14166,14163,233,236,232,232,233,236,237,236,248,252,255,240,237,249,252,238,236,250,240,244,237,247,245,234,1109,1112,-1,1,14078,13995,14150,13620,14115,14040,13965,13861,13679,13681,13809,13805,14014,14010,13917,13912,13844,13849,13892,13893,14015,14012,13798,13797,239,234,233,233,239,233,237,238,242,259,255,243,246,252,254,238,244,253,247,243,239,247,250,241,1118,1109,1,0,13844,13549,14504,13584,13509,14045,14392,14304,245,243,244,246,245,244,248,250,1117,-2,14226,14342,13939,13658,14105,13909,13710,13876,260,256,250,261,251,247,257,255,1117,-1,13473,14333,13518,14196,13704,14281,14152,14195,13698,13698,13644,13647,14161,14159,14462,14465,13651,13648,13726,13729,13660,13659,13718,13717,232,227,228,231,234,225,230,231,247,261,261,248,250,257,258,243,242,263,257,246,240,254,259,239,1118,1107,0,0,0,1,-2,-1,-2,-2,1,-1,0,1,0,0,  B34 
2024-05-24 08:25:24,693,13071,13078,13100,13102,13100,13126,13104,13128,13222,13218,13180,13163,13226,13225,13253,13238,13206,13213,13276,13262,13270,13271,13261,13256,245,241,242,244,239,236,243,244,250,263,264,253,247,252,258,240,247,263,256,249,243,255,263,246,1048,1058,-31,-38,13154,13060,13167,13109,13101,13158,13134,13136,239,238,238,244,242,241,242,244,1050,-18,13151,13143,13184,13155,13123,13112,13076,13141,244,242,239,245,242,234,243,242,1050,-19,13190,13234,13228,13246,13240,13229,13174,13207,13775,13590,13920,14283,13744,13743,13728,13725,13803,13809,13777,13774,13917,13445,13420,13400,233,236,232,232,233,236,237,235,248,252,255,240,237,249,252,238,236,250,240,244,237,247,245,234,1057,1099,-32,-28,13125,13129,13071,13121,13041,13059,13102,13079,13370,13392,13377,13371,13363,13359,13392,13369,13377,13379,13389,13370,13360,13356,13355,13351,239,234,233,233,239,233,237,238,242,259,255,243,246,252,254,238,244,253,247,243,239,247,249,241,1047,1069,-21,-26,13127,13191,13099,13125,13123,13118,13124,13063,245,243,244,246,245,244,248,250,1049,-27,13144,13105,13194,13169,13173,13188,13145,13137,260,255,250,261,251,247,257,255,1052,-24,13085,13201,13189,13145,13179,13221,13184,13164,13324,13323,13349,13327,13363,13359,13255,13274,13350,13346,13342,13344,13337,13337,13305,13302,232,227,228,231,234,225,230,231,247,261,261,248,250,257,258,243,242,263,257,246,240,254,259,239,1053,1066,-24,-40,-18,-19,-27,-24,-38,-31,-28,-32,-26,-21,-40,-24,  B34 
2024-05-24 08:25:54,721,12697,12703,12729,12684,12734,12753,12728,12724,13019,13014,12958,12966,12998,12997,13001,12995,13005,12991,13045,13058,13055,13060,13036,13036,245,241,242,244,239,236,243,244,250,263,264,253,247,252,258,240,247,263,256,249,243,255,263,246,1017,1041,-26,-35,12752,12739,12782,12758,12723,12759,12748,12751,239,238,238,244,242,241,242,244,1020,-18,12779,12758,12787,12745,12781,12775,12755,12795,244,242,239,245,242,234,243,242,1021,-19,12778,12823,12802,12824,12812,12805,12744,12772,13190,13200,13222,13185,13221,13220,13192,13190,13171,13175,13176,13181,13179,13179,13104,13102,233,235,232,232,233,236,237,235,248,252,254,240,237,249,252,238,235,249,240,244,237,247,245,233,1023,1054,-22,-28,12707,12728,12723,12735,12706,12724,12750,12717,13150,13139,13157,13153,13147,13143,13147,13144,13153,13156,13143,13156,13121,13118,13114,13128,238,234,233,233,239,233,237,238,242,259,255,243,246,252,254,238,244,253,247,243,239,247,249,241,1017,1051,-19,-27,12771,12742,12724,12743,12745,12768,12796,12705,245,243,244,246,245,244,248,250,1019,-23,12781,12764,12773,12747,12764,12769,12742,12725,260,255,250,261,251,247,257,255,1020,-22,12681,12763,12749,12737,12769,12791,12748,12719,13111,13110,13090,13110,13031,13028,13054,13043,13094,13089,13093,13094,13123,13119,13081,13075,232,227,228,231,234,225,230,231,247,261,261,248,250,258,258,243,242,263,257,246,240,254,259,239,1019,1046,-21,-35,-18,-19,-23,-22,-35,-26,-28,-22,-27,-19,-35,-21,  B34 
2024-05-24 08:26:24,752,12528,12585,12551,12557,12565,12575,12572,12582,12813,12808,12786,12791,12801,12800,12816,12804,12823,12811,12834,12832,12838,12828,12822,12807,245,241,242,244,239,236,242,244,250,263,264,253,247,252,258,240,246,263,256,249,243,255,263,246,1005,1025,-26,-35,12596,12605,12642,12588,12593,12601,12603,12597,239,238,238,244,241,241,242,244,1008,-18,12634,12617,12613,12579,12605,12616,12616,12610,244,242,239,245,242,233,242,242,1008,-19,12620,12651,12633,12637,12617,12616,12588,12607,12998,13000,13017,13018,13057,13064,13000,12998,12985,12989,12978,12975,13012,13020,12965,12933,233,235,232,232,233,236,237,235,247,252,254,240,236,249,252,238,235,249,240,244,236,246,245,233,1009,1040,-21,-28,12553,12595,12580,12544,12586,12588,12587,12547,12938,12926,12950,12946,12942,12939,12941,12947,12931,12934,12936,12948,12921,12918,12914,12915,238,234,233,233,239,233,237,238,242,259,255,243,246,252,254,238,244,253,247,243,239,247,249,241,1005,1034,-19,-28,12622,12564,12580,12581,12554,12616,12644,12564,245,243,244,246,245,244,248,249,1007,-22,12616,12616,12591,12565,12603,12606,12590,12586,260,255,250,261,251,247,257,255,1007,-21,12540,12622,12535,12571,12588,12598,12590,12590,12877,12876,12876,12871,12823,12821,12868,12859,12867,12862,12874,12875,12884,12897,12840,12851,232,227,228,231,234,225,230,231,247,260,261,248,250,258,258,243,242,263,257,246,240,254,259,239,1006,1029,-22,-35,-18,-19,-22,-21,-35,-26,-28,-21,-28,-19,-35,-22,  B34 
2024-05-24 08:26:54,783,12528,12585,12551,12557,12565,12575,12572,12582,12813,12808,12786,12791,12801,12800,12816,12804,12823,12811,12834,12832,12838,12828,12822,12807,245,241,242,244,239,236,242,244,250,263,264,253,247,252,258,240,246,263,256,249,243,255,263,246,1005,1025,-26,-35,12596,12605,12642,12588,12593,12601,12603,12597,239,238,238,244,241,241,242,244,1008,-18,12634,12617,12613,12579,12605,12616,12616,12610,244,242,239,245,242,233,242,242,1008,-19,12620,12651,12633,12637,12617,12616,12588,12607,12998,13000,13017,13018,13057,13064,13000,12998,12985,12989,12978,12975,13012,13020,12965,12933,233,235,232,232,233,236,237,235,247,252,254,240,236,249,252,238,235,249,240,244,236,246,245,233,1009,1040,-21,-28,12553,12595,12580,12544,12586,12588,12587,12547,12938,12926,12950,12946,12942,12939,12941,12947,12931,12934,12936,12948,12921,12918,12914,12915,238,234,233,233,239,233,237,238,242,259,255,243,246,252,254,238,244,253,247,243,239,247,249,241,1005,1034,-19,-28,12622,12564,12580,12581,12554,12616,12644,12564,245,243,244,246,245,244,248,249,1007,-22,12616,12616,12591,12565,12603,12606,12590,12586,260,255,250,261,251,247,257,255,1007,-21,12540,12622,12535,12571,12588,12598,12590,12590,12877,12876,12876,12871,12823,12821,12868,12859,12867,12862,12874,12875,12884,12897,12840,12851,232,227,228,231,234,225,230,231,247,260,261,248,250,258,258,243,242,263,257,246,240,254,259,239,1006,1029,-22,-35,-18,-19,-22,-21,-35,-26,-28,-21,-28,-19,-35,-22,  B34 
2024-05-24 08:27:24,831,12494,12567,12507,12535,12526,12534,12544,12551,12638,12633,12645,12645,12608,12608,12641,12633,12665,12659,12610,12609,12603,12600,12604,12598,245,241,242,243,239,236,242,243,250,263,264,253,246,252,258,240,246,263,256,249,243,255,263,246,1002,1009,-27,-38,12547,12583,12600,12530,12560,12560,12563,12549,239,238,238,244,241,241,241,244,1004,-17,12597,12576,12561,12526,12560,12585,12580,12560,243,241,239,244,242,233,242,242,1005,-20,12554,12564,12556,12550,12529,12533,12533,12531,12693,12696,12727,12731,12728,12713,12685,12685,12700,12704,12673,12671,12717,12719,12699,12697,233,235,232,232,232,236,237,235,247,252,254,239,236,248,251,238,235,249,240,244,236,246,244,233,1003,1016,-20,-27,12513,12562,12561,12486,12565,12565,12540,12514,12677,12673,12702,12698,12697,12694,12700,12701,12689,12692,12690,12695,12701,12699,12694,12695,238,233,233,233,239,233,237,238,242,258,254,243,246,252,253,237,244,253,247,242,238,247,249,240,1003,1015,-20,-27,12598,12505,12547,12541,12480,12577,12612,12542,245,243,244,246,245,244,248,249,1004,-22,12568,12576,12542,12510,12560,12556,12554,12551,259,255,250,261,251,247,257,254,1004,-21,12505,12606,12475,12534,12544,12556,12555,12574,12640,12639,12623,12625,12633,12632,12688,12685,12614,12610,12637,12638,12630,12636,12599,12601,232,226,228,231,234,225,230,230,247,260,261,248,250,257,258,243,242,263,257,246,240,254,259,239,1003,1010,-22,-36,-17,-20,-22,-21,-38,-27,-27,-20,-27,-20,-36,-22,  B34 
2024-05-24 08:27:54,864,12516,12583,12530,12554,12545,12557,12565,12571,12611,12605,12626,12622,12574,12575,12612,12607,12639,12637,12567,12565,12554,12558,12561,12560,245,241,242,243,238,236,242,243,250,263,263,253,246,252,257,240,246,263,256,249,243,255,263,245,1004,1007,-27,-39,12570,12600,12619,12552,12579,12581,12582,12568,239,238,238,244,241,241,241,244,1006,-17,12614,12596,12583,12550,12579,12604,12600,12581,243,241,239,244,242,233,242,242,1007,-20,12564,12573,12566,12562,12541,12545,12545,12543,12659,12661,12696,12697,12682,12684,12657,12649,12670,12675,12638,12635,12680,12681,12680,12680,232,235,232,232,232,235,237,235,247,252,254,239,236,248,251,238,235,249,240,244,236,246,244,233,1004,1013,-20,-26,12540,12584,12581,12514,12584,12584,12565,12537,12607,12611,12639,12635,12636,12634,12642,12637,12630,12634,12630,12629,12653,12651,12645,12646,238,233,233,233,239,233,237,238,241,258,254,243,245,252,253,237,243,252,247,242,238,247,249,240,1004,1010,-21,-27,12617,12533,12568,12564,12506,12598,12629,12563,244,243,244,246,245,244,248,249,1005,-22,12592,12595,12564,12533,12579,12580,12575,12574,259,255,250,261,250,247,257,254,1005,-20,12528,12625,12502,12555,12566,12581,12578,12593,12587,12587,12565,12571,12603,12601,12653,12654,12560,12555,12587,12588,12572,12572,12547,12544,232,226,228,231,234,225,229,230,247,260,261,248,250,257,258,243,242,263,257,246,240,254,259,239,1005,1006,-22,-37,-17,-20,-22,-20,-39,-27,-26,-20,-27,-21,-37,-22,  B34 
2024-05-24 08:28:24,897,12532,12595,12544,12566,12561,12571,12578,12584,12607,12603,12624,12621,12570,12571,12610,12605,12635,12634,12561,12559,12549,12553,12557,12556,245,240,242,243,238,236,242,243,250,263,263,253,246,252,257,240,246,263,256,249,242,255,263,245,1005,1007,-27,-39,12585,12611,12632,12567,12592,12599,12598,12585,239,238,238,244,241,241,241,243,1007,-17,12628,12608,12599,12564,12594,12618,12613,12597,243,241,239,244,242,233,242,242,1008,-20,12585,12596,12587,12585,12565,12569,12567,12567,12621,12624,12665,12664,12637,12636,12609,12609,12640,12643,12596,12594,12642,12643,12656,12654,232,235,232,232,232,235,237,235,247,251,254,239,236,248,251,238,235,248,240,243,236,246,244,233,1006,1010,-20,-26,12554,12596,12594,12530,12595,12597,12580,12553,12588,12591,12625,12621,12622,12620,12625,12622,12612,12615,12612,12612,12639,12637,12630,12631,238,233,233,233,239,233,237,238,241,258,254,243,245,252,253,237,243,252,247,242,238,247,249,240,1005,1009,-21,-26,12631,12550,12581,12577,12522,12611,12642,12578,244,243,244,245,245,244,248,249,1006,-22,12607,12607,12580,12550,12594,12594,12589,12587,259,255,250,261,250,247,257,254,1007,-21,12541,12639,12519,12570,12582,12597,12593,12606,12575,12574,12554,12559,12600,12599,12647,12647,12547,12543,12575,12576,12558,12559,12536,12534,232,226,228,231,234,225,229,230,247,260,261,248,249,257,258,243,242,263,257,246,239,254,259,239,1006,1005,-22,-37,-17,-20,-22,-21,-39,-27,-26,-20,-26,-21,-37,-22,  B34 
2024-05-24 08:28:54,947,12544,12606,12557,12578,12573,12585,12591,12598,12615,12610,12630,12626,12578,12579,12616,12611,12640,12638,12570,12567,12558,12561,12567,12565,245,240,242,243,238,236,242,243,250,263,263,253,246,251,257,240,246,262,255,249,242,254,263,245,1006,1007,-26,-39,12598,12622,12644,12581,12603,12612,12612,12598,239,238,238,244,241,241,241,243,1008,-17,12641,12622,12614,12579,12608,12630,12625,12611,243,241,239,244,241,233,242,242,1009,-20,12598,12611,12602,12602,12580,12585,12580,12581,12617,12620,12663,12664,12634,12634,12606,12606,12639,12643,12587,12586,12640,12641,12657,12655,232,235,232,231,232,236,237,235,247,251,253,239,236,248,251,237,235,248,239,243,236,246,244,232,1007,1010,-20,-25,12568,12610,12606,12543,12607,12609,12594,12567,12587,12589,12627,12623,12623,12620,12625,12621,12611,12614,12610,12610,12640,12638,12629,12630,238,233,233,233,239,233,237,238,241,258,254,243,245,252,253,237,243,252,247,242,238,246,249,240,1007,1009,-20,-26,12642,12563,12595,12590,12537,12623,12653,12591,244,243,244,245,245,244,248,249,1007,-22,12621,12620,12595,12565,12609,12608,12603,12600,259,255,250,261,250,247,257,254,1008,-21,12554,12652,12532,12585,12595,12611,12608,12618,12579,12578,12560,12565,12608,12606,12650,12651,12553,12548,12581,12582,12562,12563,12544,12541,231,226,228,230,233,225,229,230,246,260,261,248,249,257,258,243,242,263,257,246,239,254,258,238,1007,1006,-22,-38,-17,-20,-22,-21,-39,-26,-25,-20,-26,-20,-38,-22,  B34 
2024-05-24 08:29:24,979,12553,12613,12564,12587,12581,12592,12598,12605,12624,12619,12636,12634,12588,12588,12624,12619,12647,12644,12581,12580,12571,12573,12579,12577,245,240,242,243,238,236,242,243,250,262,263,253,246,251,257,239,246,262,255,249,242,254,262,245,1006,1008,-26,-39,12605,12629,12653,12591,12611,12621,12620,12607,239,238,238,244,241,241,241,243,1009,-17,12649,12630,12622,12588,12616,12638,12635,12620,243,241,239,244,241,233,242,242,1009,-20,12607,12621,12610,12611,12589,12594,12588,12591,12622,12624,12669,12671,12640,12640,12613,12613,12644,12648,12591,12591,12645,12645,12662,12660,232,235,232,231,232,235,236,235,247,251,253,239,235,248,251,237,234,248,239,243,236,245,244,232,1008,1010,-20,-25,12577,12618,12614,12552,12615,12617,12603,12575,12598,12598,12638,12634,12633,12630,12633,12630,12619,12623,12619,12619,12647,12645,12636,12637,238,233,233,233,239,233,237,238,241,258,254,243,245,252,253,237,243,252,247,242,238,246,249,240,1007,1010,-21,-26,12651,12572,12605,12599,12547,12631,12661,12600,244,243,244,245,245,244,247,249,1008,-22,12631,12628,12603,12573,12618,12616,12611,12608,259,255,250,261,250,247,257,254,1008,-21,12561,12660,12539,12594,12603,12618,12615,12626,12590,12589,12571,12576,12617,12615,12657,12658,12564,12560,12591,12592,12572,12574,12555,12553,231,226,228,230,233,225,229,230,246,260,261,248,249,257,257,242,242,263,257,245,239,254,258,238,1008,1007,-22,-38,-17,-20,-22,-21,-39,-26,-25,-20,-26,-21,-38,-22,  B34 
2024-05-24 08:29:55,011,12558,12619,12570,12592,12587,12598,12604,12611,12632,12627,12643,12641,12596,12598,12633,12627,12653,12651,12592,12590,12580,12583,12588,12586,245,240,242,243,238,236,242,243,250,262,263,252,246,251,257,239,246,262,255,249,242,254,262,244,1007,1009,-26,-39,12612,12636,12659,12598,12618,12626,12627,12613,239,237,238,244,241,241,241,243,1009,-17,12655,12637,12629,12594,12622,12644,12641,12626,243,241,239,244,241,234,242,242,1010,-20,12613,12629,12617,12618,12596,12601,12594,12597,12632,12635,12678,12679,12650,12650,12624,12624,12654,12657,12603,12601,12654,12655,12670,12668,232,235,232,231,232,235,236,234,246,251,253,239,235,248,250,237,234,248,239,243,235,245,243,232,1008,1011,-20,-25,12583,12624,12620,12557,12621,12624,12609,12581,12610,12611,12649,12645,12644,12641,12644,12641,12630,12634,12629,12630,12656,12653,12645,12646,238,233,233,233,239,233,237,238,241,258,254,243,245,251,253,237,243,252,247,242,238,246,248,239,1008,1011,-20,-26,12656,12577,12612,12604,12552,12637,12667,12607,244,243,244,245,245,244,247,249,1009,-22,12637,12635,12609,12579,12625,12622,12616,12614,259,255,250,261,250,247,257,254,1009,-21,12567,12666,12544,12601,12608,12624,12621,12631,12601,12600,12582,12586,12626,12624,12665,12664,12575,12570,12602,12603,12583,12585,12565,12564,231,226,228,230,233,225,229,230,246,260,261,248,249,257,257,242,242,262,257,245,239,254,258,238,1008,1007,-22,-38,-17,-20,-22,-21,-39,-26,-25,-20,-26,-20,-38,-22,  B34 
