2023-02-25 13:02:33,428,RT1BMLBV1,RT1BMLBV2,RT1BMLBV3,RT1BMLBV4,RT1BMLBV5,RT1BMLBV6,RT1BMLBV7,RT1BMLBV8,RT1BMCBV01,RT1BMCBV02,RT1BMCBV03,RT1BMCBV04,RT1BMCBV05,RT1BMCBV06,RT1BMCBV07,RT1BMCBV08,RT1BMCBV09,RT1BMCBV10,RT1BMCBV11,RT1BMCBV12,RT1BMCBV13,RT1BMCBV14,RT1BMCBV15,RT1BMCBV16,RT1BMLBT1,RT1BMLBT2,RT1BMLBT3,RT1BMLBT4,RT1BMLBT5,RT1BMLBT6,RT1BMLBT7,RT1BMLBT8,RT1BMCBT01,RT1BMCBT02,RT1BMCBT03,RT1BMCBT04,RT1BMCBT05,RT1BMCBT06,RT1BMCBT07,RT1BMCBT08,RT1BMCBT09,RT1BMCBT10,RT1BMCBT11,RT1BMCBT12,RT1BMCBT13,RT1BMCBT14,RT1BMCBT15,RT1BMCBT16,RT1BMLBBV,RT1BMCBBV,RT1BMLBI,RT1BMCBI,RM2BMLBV1,RM2BMLBV2,RM2BMLBV3,RM2BMLBV4,RM2BMLBV5,RM2BMLBV6,RM2BMLBV7,RM2BMLBV8,RM2BMLBT1,RM2BMLBT2,RM2BMLBT3,RM2BMLBT4,RM2BMLBT5,RM2BMLBT6,RM2BMLBT7,RM2BMLBT8,RM2BMLBBV,RM2BMLBI,RM3BMLBV1,RM3BMLBV2,RM3BMLBV3,RM3BMLBV4,RM3BMLBV5,RM3BMLBV6,RM3BMLBV7,RM3BMLBV8,RM3BMLBT1,RM3BMLBT2,RM3BMLBT3,RM3BMLBT4,RM3BMLBT5,RM3BMLBT6,RM3BMLBT7,RM3BMLBT8,RM3BMLBBV,RM3BMLBI,RT4BMLBV1,RT4BMLBV2,RT4BMLBV3,RT4BMLBV4,RT4BMLBV5,RT4BMLBV6,RT4BMLBV7,RT4BMLBV8,RT4BMCBV01,RT4BMCBV02,RT4BMCBV03,RT4BMCBV04,RT4BMCBV05,RT4BMCBV06,RT4BMCBV07,RT4BMCBV08,RT4BMCBV09,RT4BMCBV10,RT4BMCBV11,RT4BMCBV12,RT4BMCBV13,RT4BMCBV14,RT4BMCBV15,RT4BMCBV16,RT4BMLBT1,RT4BMLBT2,RT4BMLBT3,RT4BMLBT4,RT4BMLBT5,RT4BMLBT6,RT4BMLBT7,RT4BMLBT8,RT4BMCBT01,RT4BMCBT02,RT4BMCBT03,RT4BMCBT04,RT4BMCBT05,RT4BMCBT06,RT4BMCBT07,RT4BMCBT08,RT4BMCBT09,RT4BMCBT10,RT4BMCBT11,RT4BMCBT12,RT4BMCBT13,RT4BMCBT14,RT4BMCBT15,RT4BMCBT16,RT4BMLBBV,RT4BMCBBV,RT4BMLBI,RT4BMCBI,RT5BMLBV1,RT5BMLBV2,RT5BMLBV3,RT5BMLBV4,RT5BMLBV5,RT5BMLBV6,RT5BMLBV7,RT5BMLBV8,RT5BMCBV01,RT5BMCBV02,RT5BMCBV03,RT5BMCBV04,RT5BMCBV05,RT5BMCBV06,RT5BMCBV07,RT5BMCBV08,RT5BMCBV09,RT5BMCBV10,RT5BMCBV11,RT5BMCBV12,RT5BMCBV13,RT5BMCBV14,RT5BMCBV15,RT5BMCBV16,RT5BMLBT1,RT5BMLBT2,RT5BMLBT3,RT5BMLBT4,RT5BMLBT5,RT5BMLBT6,RT5BMLBT7,RT5BMLBT8,RT5BMCBT01,RT5BMCBT02,RT5BMCBT03,RT5BMCBT04,RT5BMCBT05,RT5BMCBT06,RT5BMCBT07,RT5BMCBT08,RT5BMCBT09,RT5BMCBT10,RT5BMCBT11,RT5BMCBT12,RT5BMCBT13,RT5BMCBT14,RT5BMCBT15,RT5BMCBT16,RT5BMLBBV,RT5BMCBBV,RT5BMLBI,RT5BMCBI,RM6BMLBV1,RM6BMLBV2,RM6BMLBV3,RM6BMLBV4,RM6BMLBV5,RM6BMLBV6,RM6BMLBV7,RM6BMLBV8,RM6BMLBT1,RM6BMLBT2,RM6BMLBT3,RM6BMLBT4,RM6BMLBT5,RM6BMLBT6,RM6BMLBT7,RM6BMLBT8,RM6BMLBBV,RM6BMLBI,RM7BMLBV1,RM7BMLBV2,RM7BMLBV3,RM7BMLBV4,RM7BMLBV5,RM7BMLBV6,RM7BMLBV7,RM7BMLBV8,RM7BMLBT1,RM7BMLBT2,RM7BMLBT3,RM7BMLBT4,RM7BMLBT5,RM7BMLBT6,RM7BMLBT7,RM7BMLBT8,RM7BMLBBV,RM7BMLBI,RT8BMLBV1,RT8BMLBV2,RT8BMLBV3,RT8BMLBV4,RT8BMLBV5,RT8BMLBV6,RT8BMLBV7,RT8BMLBV8,RT8BMCBV01,RT8BMCBV02,RT8BMCBV03,RT8BMCBV04,RT8BMCBV05,RT8BMCBV06,RT8BMCBV07,RT8BMCBV08,RT8BMCBV09,RT8BMCBV10,RT8BMCBV11,RT8BMCBV12,RT8BMCBV13,RT8BMCBV14,RT8BMCBV15,RT8BMCBV16,RT8BMLBT1,RT8BMLBT2,RT8BMLBT3,RT8BMLBT4,RT8BMLBT5,RT8BMLBT6,RT8BMLBT7,RT8BMLBT8,RT8BMCBT01,RT8BMCBT02,RT8BMCBT03,RT8BMCBT04,RT8BMCBT05,RT8BMCBT06,RT8BMCBT07,RT8BMCBT08,RT8BMCBT09,RT8BMCBT10,RT8BMCBT11,RT8BMCBT12,RT8BMCBT13,RT8BMCBT14,RT8BMCBT15,RT8BMCBT16,RT8BMLBBV,RT8BMCBBV,RT8BMLBI,RT8BMCBI,RM2BMLBI,RM3BMLBI,RM6BMLBI,RM7BMLBI,RT1BMCBI,RT1BMLBI,RT4BMCBI,RT4BMLBI,RT5BMCBI,RT5BMLBI,RT8BMCBI,RT8BMLBI,XT1PLESNSETNO8B
2023-02-25 13:02:34,408,13856,13809,13795,13896,13684,13738,13896,13689,13895,13897,13815,13817,13819,13823,13915,13911,13792,13798,13804,13797,14002,13994,13861,13862,259,255,253,258,251,251,248,255,256,256,260,260,251,252,259,260,258,257,258,253,255,256,264,254,1103,1109,0,0,13741,13670,13943,13852,13766,13683,13845,13813,263,267,263,262,252,252,255,255,1103,0,13674,13813,13680,13589,13713,13687,13684,13683,252,250,257,254,254,246,255,254,1095,0,13883,13768,13739,13746,13824,13790,13841,13935,13753,13757,14063,14058,13975,13983,13775,13774,13863,13874,13736,13740,13952,13955,14027,14034,259,254,258,257,247,248,234,247,260,263,259,263,256,267,259,250,253,258,263,252,258,252,259,254,1105,1111,0,-1,13727,13771,13705,13848,13840,13814,13751,13820,13841,13841,13847,13861,13812,13817,13853,13851,13828,13827,13869,13867,13733,13735,13782,13784,264,262,264,258,261,262,259,259,259,250,253,251,244,251,252,251,248,256,252,250,252,245,253,253,1102,1105,0,0,13839,13725,13716,13817,13735,13939,13744,13745,268,264,240,268,263,265,231,269,1102,0,13949,13742,13734,13792,13892,13785,13735,13843,256,262,264,258,266,267,264,268,1104,0,13843,13742,13815,13846,13815,13848,13707,13883,13752,13760,13879,13888,13804,13812,13814,13816,13860,13857,14133,14132,13779,13790,13855,13858,256,258,247,258,252,247,252,249,258,256,257,247,256,249,251,252,251,256,257,255,252,255,256,251,1104,1108,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,  B5  
2023-02-25 13:03:04,410,13855,13809,13795,13898,13684,13738,13895,13689,13897,13896,13814,13817,13819,13822,13914,13913,13790,13798,13802,13797,14003,13995,13858,13861,259,255,253,258,251,251,248,255,256,256,260,260,251,252,259,260,258,257,258,253,255,256,264,254,1103,1108,0,0,13741,13670,13942,13852,13766,13682,13846,13815,263,267,263,262,252,252,255,255,1103,0,13674,13814,13680,13589,13714,13687,13685,13683,252,250,257,254,254,246,255,254,1095,0,13882,13767,13737,13745,13823,13790,13840,13941,13754,13757,14063,14058,13975,13983,13775,13774,13864,13875,13736,13741,13953,13956,14028,14033,259,254,258,257,247,248,234,247,260,263,259,263,256,267,259,250,253,258,263,252,258,252,259,254,1105,1111,0,-1,13727,13772,13706,13849,13843,13814,13750,13820,13842,13842,13849,13862,13813,13817,13854,13852,13828,13827,13869,13867,13733,13735,13782,13784,264,262,264,258,261,262,259,259,259,250,253,251,244,251,252,251,248,256,252,250,252,245,253,253,1102,1105,0,0,13837,13726,13715,13817,13735,13937,13744,13745,268,264,240,268,263,265,231,269,1102,0,13948,13742,13733,13791,13890,13786,13734,13843,256,262,264,258,266,267,264,268,1104,0,13842,13741,13815,13846,13815,13846,13706,13881,13752,13760,13878,13887,13805,13813,13815,13816,13860,13856,14132,14131,13779,13790,13854,13857,256,258,247,258,253,247,252,249,258,256,257,247,256,249,251,252,251,256,257,255,252,255,256,251,1104,1108,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,  B5  
2023-02-25 13:03:34,431,13855,13808,13795,13901,13685,13739,13896,13689,13898,13898,13815,13817,13819,13823,13916,13913,13791,13798,13804,13798,14004,13996,13862,13865,259,255,253,258,251,251,248,255,256,256,260,260,251,252,259,260,258,257,258,253,255,256,264,254,1103,1109,0,0,13740,13669,13943,13853,13766,13682,13848,13814,263,267,263,262,252,252,255,255,1103,0,13674,13814,13680,13589,13714,13687,13684,13683,252,250,257,254,254,246,255,254,1095,0,13883,13768,13737,13746,13823,13791,13841,13936,13753,13757,14062,14058,13974,13981,13775,13774,13865,13874,13735,13740,13952,13954,14027,14033,259,254,258,257,247,248,234,247,260,263,259,263,256,267,259,250,253,258,263,252,258,252,259,254,1105,1111,0,-1,13727,13772,13705,13847,13844,13812,13750,13819,13812,13812,13819,13834,13793,13798,13825,13823,13805,13804,13836,13834,13723,13725,13764,13766,264,262,264,258,261,262,259,259,259,250,253,251,244,251,252,251,248,256,252,250,252,245,253,253,1102,1103,0,0,13840,13726,13715,13818,13735,13938,13743,13746,268,264,240,268,263,265,231,269,1102,0,13946,13742,13733,13791,13889,13785,13735,13842,256,262,264,258,266,267,264,268,1104,0,13843,13741,13816,13846,13815,13847,13706,13881,13752,13760,13876,13885,13806,13814,13815,13816,13860,13856,14129,14129,13779,13790,13853,13856,256,258,247,258,253,247,252,249,258,256,257,247,256,249,251,252,251,256,257,255,252,255,256,251,1104,1108,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,  B5  
2023-02-25 13:04:04,463,13855,13808,13795,13902,13684,13739,13895,13689,13897,13899,13816,13817,13820,13824,13917,13913,13792,13798,13805,13797,14004,13996,13863,13865,259,255,253,258,251,251,248,255,256,256,260,260,251,252,259,260,258,257,258,253,255,256,264,254,1103,1109,0,0,13739,13669,13941,13852,13766,13681,13849,13815,263,267,263,262,252,252,255,254,1103,0,13674,13815,13680,13589,13714,13687,13685,13683,252,250,257,254,254,246,255,254,1095,0,13883,13768,13737,13746,13824,13791,13841,13938,13754,13757,14062,14058,13974,13981,13776,13774,13865,13875,13736,13740,13953,13956,14027,14033,259,254,258,257,247,248,234,247,260,263,259,263,256,267,259,250,253,258,263,252,258,252,259,254,1105,1111,0,-1,13727,13771,13706,13847,13847,13812,13750,13820,13811,13812,13819,13834,13793,13798,13824,13822,13804,13803,13835,13833,13724,13726,13764,13766,264,262,264,258,261,262,259,259,259,250,253,251,244,251,252,251,248,256,252,250,252,245,253,253,1102,1103,0,0,13840,13726,13715,13818,13735,13938,13743,13746,268,264,240,268,263,265,231,269,1102,0,13947,13741,13733,13791,13889,13785,13734,13843,256,262,264,258,266,267,264,268,1104,0,13842,13741,13817,13846,13814,13847,13705,13880,13752,13760,13876,13885,13807,13816,13815,13816,13859,13856,14129,14127,13779,13791,13853,13856,256,258,247,258,252,247,252,249,258,256,257,247,256,249,251,252,251,256,257,255,252,255,256,251,1104,1108,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,  B5  
2023-02-25 13:04:34,475,13855,13809,13796,13901,13683,13738,13893,13688,13897,13898,13815,13816,13819,13823,13916,13913,13791,13797,13803,13797,14004,13996,13860,13863,259,255,253,258,251,251,248,255,256,256,260,260,251,252,259,260,258,257,258,253,255,256,264,254,1103,1109,0,0,13738,13669,13940,13852,13766,13681,13850,13817,263,267,263,262,252,252,255,255,1103,0,13674,13816,13680,13589,13715,13687,13685,13684,252,250,257,254,254,246,255,254,1095,0,13884,13769,13738,13747,13824,13793,13842,13932,13754,13757,14062,14058,13973,13981,13776,13774,13865,13876,13736,13740,13953,13956,14026,14033,259,254,258,257,247,248,234,247,260,263,259,263,256,267,259,250,253,258,263,252,258,252,259,254,1105,1111,0,-1,13727,13772,13706,13848,13850,13811,13750,13820,13841,13841,13848,13862,13812,13817,13854,13852,13828,13827,13868,13866,13734,13736,13782,13784,264,262,264,258,261,262,259,259,259,250,253,251,244,251,252,251,248,256,252,250,252,245,253,253,1102,1105,0,0,13842,13726,13716,13819,13735,13938,13744,13747,268,264,240,268,263,265,231,269,1102,0,13948,13742,13733,13792,13890,13786,13734,13844,256,262,264,258,266,267,264,268,1104,0,13843,13741,13818,13847,13815,13848,13706,13881,13752,13760,13876,13884,13808,13817,13815,13816,13859,13855,14128,14127,13779,13791,13853,13856,256,258,247,258,253,247,252,249,258,256,257,247,256,249,251,252,251,256,257,255,252,255,256,251,1104,1108,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,  B5  
2023-02-25 13:05:04,491,13159,13191,13212,13208,13154,13191,13200,13139,13466,13503,13397,13418,13448,13451,13454,13469,13397,13407,13409,13349,13455,13448,13340,13342,259,255,253,258,251,251,248,255,256,256,260,260,251,252,259,260,258,257,258,253,255,256,264,254,1054,1073,-30,-39,13086,13104,13027,13142,13172,13136,13165,13142,263,267,263,262,252,252,255,255,1049,-27,13125,13127,13129,13073,13092,13111,13112,13104,252,250,256,254,254,246,255,254,1048,-24,13295,13259,13251,13230,13286,13234,13255,12932,13552,13509,13717,13713,13520,13509,13516,13514,13544,13574,13453,13447,13542,13543,13494,13500,259,254,258,257,247,248,234,247,260,263,259,263,256,267,259,250,253,258,263,252,258,252,259,254,1057,1083,-23,-28,13137,13161,13165,13182,13166,13111,13089,13159,13483,13440,13458,13472,13469,13473,13457,13455,13461,13489,13432,13431,13437,13438,13440,13441,264,261,264,258,261,262,258,259,259,250,253,251,243,251,252,251,248,256,252,250,252,245,253,253,1051,1076,-27,-27,13087,13083,13090,13098,13089,13172,13042,13076,268,264,240,268,263,265,231,269,1047,-27,13126,13116,13132,13115,13106,13151,13116,13018,255,262,264,258,266,267,264,267,1048,-24,13223,13211,13217,13234,13210,13169,13214,13129,13358,13367,13393,13346,13361,13368,13337,13338,13389,13368,13471,13502,13294,13304,13296,13299,256,258,247,258,252,247,252,249,258,256,257,247,256,249,251,252,251,256,257,255,252,255,256,251,1056,1068,-30,-37,-27,-24,-27,-24,-39,-30,-28,-23,-27,-27,-37,-30,  B5  
2023-02-25 13:05:34,495,12710,12717,12729,12732,12712,12719,12744,12706,13169,13173,13118,13119,13175,13204,13171,13166,13094,13100,13070,13064,13165,13161,13076,13026,259,255,253,258,251,251,248,255,256,256,259,260,251,252,259,260,258,257,258,252,255,256,264,254,1017,1050,-23,-37,12653,12672,12613,12726,12742,12686,12726,12710,263,267,263,262,252,252,255,254,1015,-20,12745,12752,12748,12721,12720,12736,12740,12724,252,250,256,254,254,246,255,254,1018,-17,12885,12847,12833,12839,12822,12784,12839,12516,13197,13201,13370,13367,13182,13211,13181,13179,13179,13188,13100,13104,13214,13217,13187,13145,259,254,257,257,247,248,234,247,260,263,260,263,256,267,259,249,253,258,263,252,258,252,259,253,1023,1056,-16,-31,12625,12654,12727,12740,12679,12610,12548,12645,13147,13149,13158,13170,13167,13196,13141,13139,13146,13146,13132,13131,13142,13144,13171,13130,264,261,264,258,261,262,258,259,259,250,253,251,243,251,252,251,247,256,252,250,252,245,253,253,1012,1052,-20,-31,12647,12638,12687,12673,12649,12758,12610,12657,268,264,240,268,263,265,231,269,1013,-22,12664,12696,12738,12656,12643,12754,12708,12529,255,262,264,258,266,267,264,267,1013,-18,12694,12689,12691,12749,12666,12662,12692,12646,13065,13074,13088,13097,13074,13083,13089,13090,13125,13077,13189,13188,13091,13061,13048,13076,256,258,247,258,252,247,252,249,258,255,257,247,256,249,251,252,250,256,257,255,252,255,256,251,1014,1047,-25,-34,-20,-17,-22,-18,-37,-23,-31,-16,-31,-20,-34,-25,  B5  
2023-02-25 13:06:04,499,12532,12529,12542,12550,12550,12556,12575,12543,13033,13037,12980,12980,13034,13038,13059,13079,12953,12960,12926,12920,13019,13012,12900,12903,259,255,253,258,251,251,248,255,256,256,259,260,251,252,259,260,257,257,258,252,255,256,263,254,1003,1039,-23,-37,12444,12448,12420,12517,12518,12455,12507,12511,263,267,263,262,252,252,255,254,998,-19,12504,12512,12505,12466,12484,12499,12501,12493,252,250,256,254,254,245,255,254,999,-18,12629,12597,12582,12593,12587,12556,12606,12163,12983,12946,13087,13085,12917,12924,12939,12937,12933,12962,12824,12828,12952,12953,12891,12897,259,254,257,257,247,248,234,247,260,263,260,263,256,267,259,249,253,258,263,252,257,252,259,253,1003,1035,-14,-32,12352,12376,12440,12453,12443,12377,12342,12397,12946,12909,12908,12921,12916,12919,12912,12911,12921,12941,12888,12887,12901,12902,12909,12910,264,261,264,258,260,262,258,258,259,250,253,251,243,251,252,250,247,256,252,249,252,245,253,253,991,1033,-20,-33,12388,12401,12449,12408,12404,12499,12373,12399,268,264,240,268,263,265,231,268,993,-21,12415,12460,12492,12440,12397,12509,12467,12348,255,262,264,258,266,267,264,267,995,-18,12474,12459,12475,12512,12427,12446,12448,12413,12762,12772,12830,12798,12759,12767,12764,12779,12791,12811,12859,12899,12797,12773,12753,12769,256,258,246,258,252,247,252,249,258,255,257,247,255,249,251,252,250,256,257,255,252,255,256,251,996,1023,-24,-34,-19,-18,-21,-18,-37,-23,-32,-14,-33,-20,-34,-24,  B5  
2023-02-25 13:06:34,527,12373,12367,12380,12396,12360,12383,12388,12350,12684,12689,12640,12643,12701,12664,12697,12692,12599,12605,12576,12571,12657,12673,12547,12549,259,254,253,258,251,251,248,255,256,256,259,260,251,252,259,260,257,257,258,252,255,256,263,254,989,1010,-24,-39,12347,12339,12336,12419,12408,12346,12406,12421,263,266,263,262,252,252,255,254,990,-19,12414,12423,12414,12358,12396,12411,12412,12410,252,249,256,253,254,245,255,254,992,-18,12509,12484,12467,12474,12480,12448,12480,12155,12730,12734,12844,12846,12729,12701,12710,12708,12702,12708,12618,12622,12737,12755,12671,12675,259,254,257,257,247,248,234,247,260,263,260,262,256,267,259,249,253,258,263,252,257,252,259,253,994,1017,-14,-32,12271,12295,12334,12355,12365,12304,12289,12318,12714,12716,12707,12721,12733,12705,12702,12700,12706,12705,12695,12694,12709,12726,12706,12708,264,261,264,258,260,262,258,258,259,250,253,251,243,251,251,250,247,256,252,249,252,244,253,253,985,1016,-20,-32,12305,12333,12370,12325,12331,12404,12299,12312,268,264,240,268,263,265,231,268,986,-21,12337,12370,12391,12372,12319,12409,12373,12312,255,262,264,258,266,267,264,267,988,-18,12381,12357,12384,12394,12326,12354,12335,12329,12572,12582,12618,12625,12611,12603,12610,12608,12610,12582,12647,12655,12621,12607,12592,12609,256,258,246,258,252,247,252,248,258,255,257,247,255,249,251,252,250,256,257,255,252,255,256,251,988,1008,-23,-35,-19,-18,-21,-18,-39,-24,-32,-14,-32,-20,-35,-23,  B5  
2023-02-25 13:07:04,559,12400,12393,12407,12425,12365,12405,12396,12349,12520,12507,12471,12471,12492,12497,12530,12527,12443,12460,12424,12418,12496,12489,12416,12418,259,254,253,258,251,251,247,255,256,256,259,260,251,252,259,260,257,257,257,252,255,256,263,253,991,997,-25,-40,12384,12364,12371,12431,12418,12366,12423,12444,263,266,263,262,252,252,255,254,992,-18,12413,12419,12412,12338,12395,12409,12410,12414,252,249,256,253,254,245,255,253,992,-20,12472,12455,12438,12433,12459,12429,12433,12131,12574,12579,12663,12661,12571,12577,12571,12570,12581,12572,12476,12480,12580,12582,12550,12555,259,254,257,257,247,248,234,247,260,263,260,262,255,267,258,249,253,258,262,252,257,252,259,253,992,1005,-13,-32,12274,12301,12322,12344,12373,12312,12301,12324,12636,12638,12626,12638,12634,12639,12649,12625,12626,12626,12618,12618,12629,12630,12644,12656,264,261,264,258,260,262,258,258,258,250,253,250,243,251,251,250,247,256,251,249,252,244,253,253,985,1010,-21,-32,12332,12368,12395,12350,12364,12422,12331,12342,268,264,240,268,263,265,231,268,989,-21,12368,12402,12400,12403,12357,12425,12395,12357,255,262,264,258,265,267,264,267,991,-18,12409,12380,12412,12393,12349,12378,12353,12362,12446,12455,12493,12484,12467,12461,12459,12464,12465,12471,12507,12519,12476,12475,12467,12471,256,257,246,258,252,247,251,249,258,255,257,246,255,249,250,252,250,256,257,255,252,254,255,251,990,997,-24,-37,-18,-20,-21,-18,-40,-25,-32,-13,-32,-21,-37,-24,  B5  
2023-02-25 13:07:34,569,12451,12442,12457,12476,12412,12457,12454,12395,12450,12455,12420,12420,12442,12442,12468,12465,12395,12402,12391,12386,12465,12458,12389,12391,259,254,253,258,251,251,247,255,256,256,259,260,251,252,259,260,257,257,257,252,254,256,263,253,995,994,-25,-40,12430,12409,12419,12492,12465,12405,12472,12499,263,266,263,262,252,252,255,254,995,-18,12458,12466,12457,12378,12440,12455,12457,12457,252,249,256,253,254,245,255,254,995,-20,12513,12502,12487,12472,12509,12484,12470,12170,12476,12481,12581,12580,12498,12500,12474,12472,12491,12499,12398,12402,12493,12498,12484,12490,259,254,257,257,247,248,234,247,260,263,260,262,255,267,258,249,253,258,262,252,257,252,259,253,996,999,-13,-30,12351,12379,12395,12416,12445,12381,12363,12398,12493,12496,12480,12492,12493,12490,12493,12492,12482,12483,12479,12479,12480,12485,12494,12495,264,261,264,258,260,262,258,258,258,250,253,250,243,251,251,250,247,256,251,249,252,244,252,253,991,999,-21,-31,12389,12413,12446,12403,12412,12478,12380,12394,268,264,240,268,263,264,231,268,993,-21,12407,12442,12439,12436,12397,12466,12434,12385,255,262,264,258,265,267,264,267,994,-18,12467,12435,12470,12463,12402,12435,12408,12414,12402,12412,12426,12433,12416,12422,12413,12414,12426,12422,12469,12466,12419,12424,12425,12431,255,258,246,258,252,247,251,248,258,255,256,246,255,249,250,252,250,256,257,255,252,254,255,251,994,994,-24,-38,-18,-20,-21,-18,-40,-25,-30,-13,-31,-21,-38,-24,  B5  
2023-02-25 13:08:04,575,12463,12455,12470,12490,12427,12471,12471,12410,12447,12452,12418,12418,12435,12441,12463,12461,12396,12402,12396,12391,12469,12462,12392,12398,259,254,253,258,251,251,247,255,256,256,259,260,251,252,259,260,257,257,257,252,255,256,263,253,996,994,-25,-41,12456,12434,12448,12530,12495,12431,12505,12533,263,266,263,262,251,252,255,254,998,-19,12492,12504,12492,12413,12475,12491,12492,12490,251,249,256,253,254,245,255,253,998,-19,12558,12547,12530,12520,12551,12522,12518,12223,12456,12461,12592,12592,12509,12515,12466,12463,12500,12514,12397,12401,12488,12490,12507,12512,259,254,257,257,247,248,234,247,260,262,260,262,255,267,258,249,253,258,262,252,257,252,259,253,999,999,-13,-29,12374,12402,12424,12447,12470,12404,12385,12423,12487,12490,12474,12486,12485,12489,12492,12491,12471,12476,12475,12476,12467,12468,12484,12485,264,261,264,258,260,262,258,258,258,250,253,250,243,251,251,250,246,256,251,249,252,244,252,253,993,998,-21,-28,12415,12434,12471,12428,12433,12505,12402,12418,268,264,240,267,263,264,231,268,995,-21,12447,12480,12483,12470,12434,12510,12473,12413,255,262,264,258,265,267,264,267,997,-18,12492,12460,12496,12497,12425,12461,12432,12440,12427,12438,12441,12455,12439,12453,12428,12437,12452,12446,12499,12491,12433,12451,12451,12455,256,257,246,258,252,247,251,248,258,255,256,246,255,249,250,252,250,256,256,255,252,254,255,251,997,995,-24,-40,-19,-19,-21,-18,-41,-25,-29,-13,-28,-21,-40,-24,  B5  
2023-02-25 13:08:34,606,12495,12486,12501,12519,12457,12500,12505,12443,12494,12499,12491,12492,12477,12483,12501,12498,12451,12459,12464,12459,12527,12521,12468,12470,259,254,253,258,251,250,247,254,255,256,259,259,251,252,259,260,257,257,257,252,254,255,263,253,999,998,-25,-42,12470,12448,12465,12549,12511,12446,12522,12552,263,266,263,262,252,252,255,254,999,-18,12511,12525,12512,12435,12495,12511,12511,12509,251,249,256,253,254,245,255,253,1000,-19,12586,12569,12551,12545,12573,12544,12546,12246,12489,12494,12614,12612,12557,12563,12508,12507,12551,12559,12421,12424,12518,12526,12552,12558,259,254,257,257,247,248,234,247,260,262,259,262,255,267,258,249,253,258,262,252,257,251,259,253,1001,1002,-14,-29,12383,12411,12436,12460,12480,12415,12395,12434,12512,12515,12502,12508,12513,12517,12520,12519,12497,12491,12494,12494,12479,12481,12496,12498,264,261,263,258,260,262,258,258,258,250,253,250,243,251,251,250,246,256,251,249,252,244,252,253,994,1000,-21,-29,12428,12445,12484,12441,12444,12519,12414,12431,267,264,240,267,263,264,231,268,996,-21,12462,12492,12497,12484,12447,12525,12486,12425,255,262,264,258,265,267,264,267,998,-17,12508,12475,12512,12515,12440,12477,12447,12454,12469,12479,12488,12495,12474,12486,12468,12476,12487,12490,12534,12530,12473,12489,12495,12497,255,257,246,257,252,247,251,248,257,255,256,246,255,249,250,251,250,256,256,254,252,254,255,251,998,999,-25,-40,-18,-19,-21,-17,-42,-25,-29,-14,-29,-21,-40,-25,  B5  
2023-02-25 13:09:04,611,12508,12498,12514,12531,12468,12511,12517,12454,12520,12525,12519,12520,12505,12510,12530,12527,12474,12486,12491,12485,12553,12547,12489,12490,259,254,253,257,251,250,247,254,255,255,259,259,251,252,259,260,257,257,257,252,254,255,263,253,1000,1000,-25,-41,12479,12456,12476,12560,12521,12454,12534,12563,263,266,263,262,251,252,255,254,1000,-18,12522,12537,12523,12446,12506,12522,12522,12519,251,249,256,253,254,245,255,253,1000,-19,12596,12579,12560,12555,12582,12552,12557,12259,12538,12544,12639,12638,12598,12603,12553,12551,12590,12601,12455,12459,12568,12569,12590,12596,259,254,257,257,247,248,234,247,260,262,259,262,255,267,258,249,253,258,262,252,257,251,258,253,1002,1005,-14,-30,12392,12420,12447,12472,12492,12426,12406,12445,12566,12568,12556,12570,12566,12570,12573,12574,12551,12551,12555,12556,12546,12543,12557,12558,264,261,263,258,260,262,258,258,258,250,253,250,243,250,251,250,246,256,251,249,251,244,252,253,995,1004,-21,-29,12436,12451,12491,12449,12451,12527,12421,12438,267,264,240,267,263,264,231,268,996,-21,12470,12498,12504,12490,12454,12533,12493,12433,255,262,264,258,265,267,264,267,998,-17,12515,12482,12519,12523,12446,12485,12454,12461,12496,12506,12519,12529,12506,12517,12504,12503,12519,12515,12560,12555,12507,12522,12525,12530,255,257,246,257,252,247,251,248,257,255,256,246,255,249,250,251,250,256,256,255,252,254,255,251,998,1001,-25,-41,-18,-19,-21,-17,-41,-25,-30,-14,-29,-21,-41,-25,  B5  
